concept_id	concept_name	concept_english_name	
CMP	计算基础	Computing Essentials
CMP.cf	计算机科学基础	Computer Science foundations
CMP.cf.1	程序设计基础	
CMP.cf.2	算法、数据结构与复杂性	
CMP.cf.3	问题求解技术	
CMP.cf.4	抽象	
CMP.cf.5	计算机组织结构	
CMP.cf.6	系统基本概念	
CMP.cf.7	基础用户因素（I/O，错误信息，鲁棒性）	
CMP.cf.8	基础开发人员因素（注释，结构，可读性）	
CMP.cf.9	程序设计语言基础	
CMP.cf.10	操作系统基础	
CMP.cf.11	数据库基础	
CMP.cf.12	网络通信基础	
CMP.cf.13	编程语言的语义学	
CMP.ct	开发技术 	Construction technologies
CMP.ct.1	API设计与使用	
CMP.ct.2	代码复用和程序库	
CMP.ct.3	面向对象运行问题（多态性，动态绑定等）	
CMP.ct.4	参数化和泛化	
CMP.ct.5	断言、契约化设计、防御性编程	
CMP.ct.6	错误处理、异常处理和容错	
CMP.ct.7	基于状态和表驱动的开发技术	
CMP.ct.8	运行的配置和国际化	
CMP.ct.9	基于语法的输入处理（句法分析）	
CMP.ct.10	并发元素（信号量、监视器等）	
CMP.ct.11	中间件（组件和容器）	
CMP.ct.12	分布式软件的开发方法	
CMP.ct.13	异构（硬件和软件）系统开发；软硬件综合设计	
CMP.ct.14	性能分析与调节	
CMP.ct.15	平台标准	
CMP.ct.16	测试优先的程序设计	
CMP.tl	开发工具 	Construction tools
CMP.tl.1	开发环境	
CMP.tl.2	GUI创建工具	
CMP.tl.3	单元测试工具	
CMP.tl.4	面向应用的语言（如脚本编程、可视化编程等）	
CMP.tl.5	剖析、性能分析和切片工具	
CMP.fm	形式化开发方法 	Formal construction methods
CMP.fm.1	抽象机的应用（如SDL、Paisley等）	
CMP.fm.2	形式化语言与方法的应用	
CMP.fm.3	由规格说明自动生成代码	
CMP.fm.4	程序派生	
CMP.fm.5	候选实现分析	
CMP.fm.6	将规格说明映射到不同实现	
CMP.fm.7	提炼	
CMP.fm.8	正确性证明	
FND	数学与工程基础 	Mathematical & Engineering Fundamentals
FND.mf	数学基础 	Mathematical foundations
FND.mf.1	函数、关系和集合	
FND.mf.2	基本逻辑（命题和谓词）	
FND.mf.3	证明技术（直接、矛盾、归纳）	
FND.mf.4	基础计算	
FND.mf.5	图和树	
FND.mf.6	离散概率学	
FND.mf.7	有限状态机，正则表达式	
FND.mf.8	语法	
FND.mf.9	数字精度、准确性和错误	
FND.mf.10	数字理论	
FND.mf.11	代数结构	
FND.ef	软件的工程基础 	Engineering foundations for software
FND.ef.1	"经验方法和实验技术
（如CPU和内存使用情况的计算机测量技术）"	
FND.ef.2	统计分析	
FND.ef.3	度量及其单位	
FND.ef.4	"系统开发
（如安全、保险、性能、规模效应、特性相互作用等）"	
FND.ef.5	"工程设计
（问题表述、可选方案、可行性等）"	
FND.ef.6	度量理论	
FND.ef.7	其他工程学科的工程科学	
FND.ec	软件工程经济学 	Engineering economics for software
FND.ec.1	软件全生命周期的价值因素	
FND.ec.2	"生成系统目标
（如共享设计、项目干系人双赢、质量职能运用、原型创建等）"	
FND.ec.3	"评估成本有效的方案
（如利润实现、折中分析、成本分析、投资回报等）"	
FND.ec.4	"实现系统价值
（如优先级确定、风险识别、成本控制等）"	
PRF	专业实践	PROfessional Practice
PRF.psy	团队动力学／心理学 	Group dynamics / psychology
PRF.psy.1	在小组或团队中工作的动力学	
PRF.psy.2	个体认知（如限制）	
PRF.psy.3	认知问题的复杂性	
PRF.psy.4	与项目干系人的相互作用	
PRF.psy.5	对待不确定性和模糊性	
PRF.psy.6	适应多文化环境	
PRF.com	沟通技巧 	Communications skills specific to SE
PRF.com.1	阅读、理解和概括（如源代码、文档）	
PRF.com.2	撰写（任务分配、报告、评估、解释等）	
PRF.com.3	小组和团队沟通	
PRF.com.4	表达技巧	
PRF.pr	职业道德 	PROfessionalism
PRF.pr.1	信用、认证和许可	
PRF.pr.2	职业道德与行为规范	
PRF.pr.3	社会、法律、历史和职业道德问题及关系	
PRF.pr.4	专业团队的本质和角色             	
PRF.pr.5	软件工程标准的本质和角色	
PRF.pr.6	软件的经济效应	
PRF.pr.7	雇佣合同	
MAA	软件建模与分析 	Software Modeling & Analysis
MAA.md	建模基础 	Modeling foundation
MAA.md.1	"建模原则
（如分解、抽象、泛化、投影／视图、明示、形式化方法的使用等）"	
MAA.md.2	前置与后置条件、不变量	
MAA.md.3	数学模型和规格说明语言简介	
MAA.md.4	建模语言的属性	
MAA.md.5	语法和语义	
MAA.md.6	明示（排除假设，或说明所有假设）	
MAA.tm	模型类型 	Types of models
MAA.tm.1	信息建模（如实体关系图、类图等）	
MAA.tm.2	行为建模	
MAA.tm.2.1	结构化分析	
MAA.tm.2.2	状态图	
MAA.tm.2.3	用例分析	
MAA.tm.2.4	交互图	
MAA.tm.2.5	故障模式和影响分析	
MAA.tm.2.6	故障树分析	
MAA.tm.3	结构建模	
MAA.tm.4	领域建模	
MAA.tm.5	功能建模	
MAA.tm.6	企业建模	
MAA.tm.6.1	业务流程	
MAA.tm.6.2	组织结构	
MAA.tm.6.3	目标	
MAA.tm.7	嵌入式系统建模	
MAA.tm.7.1	时序分析	
MAA.tm.7.2	外部接口分析	
MAA.tm.8	需求交互分析	
MAA.tm.8.1	特征交互	
MAA.tm.8.2	质量审议	
MAA.tm.8.3	视点分析	
MAA.tm.9	分析模式	
MAA.tm.9.1	问题框架	
MAA.tm.9.2	规格说明复用	
MAA.af	分析基础 	Analysis fundamentals
MAA.af.1	完善性分析	
MAA.af.1.1	完整性	
MAA.af.1.2	一致性	
MAA.af.1.3	鲁棒性	
MAA.af.2	正确性分析	
MAA.af.2.1	静态分析	
MAA.af.2.2	仿真分析	
MAA.af.2.3	模型检查	
MAA.af.3	非功能性质量需求分析	
MAA.af.3.1	保险度	
MAA.af.3.2	安全性	
MAA.af.3.3	可用性	
MAA.af.3.4	性能	
MAA.af.3.5	根源分析	
MAA.af.3.6	可靠性	
MAA.af.3.7	可维护性	
MAA.af.4	优先级确定、折衷分析、风险分析和效果分析	
MAA.af.5	可追踪性	
MAA.af.6	形式化分析	
MAA.rfd	需求基础 	Requirement fundamentals
MAA.rfd.1	需求定义	
MAA.rfd.1.1	产品	
MAA.rfd.1.2	项目	
MAA.rfd.1.3	限制	
MAA.rfd.1.4	系统边界	
MAA.rfd.1.5	外部	
MAA.rfd.1.6	内部	
MAA.rfd.2	需求过程	
MAA.rfd.3	需求的层／级	
MAA.rfd.3.1	需要	
MAA.rfd.3.2	目标	
MAA.rfd.3.3	用户需求	
MAA.rfd.3.4	系统需求	
MAA.rfd.3.5	软件需求	
MAA.rfd.4	需求特性	
MAA.rfd.4.1	可测试性	
MAA.rfd.4.2	无二义性	
MAA.rfd.4.3	一致性	
MAA.rfd.4.4	正确性	
MAA.rfd.4.5	可理解性	
MAA.rfd.4.6	可追踪性	
MAA.rfd.4.7	优先级	
MAA.rfd.5	管理需求变更	
MAA.rfd.6	需求管理	
MAA.rfd.7	需求和体系结构之间的交互	
MAA.rfd.8	需求与系统工程、人性化设计等的关系	
MAA.rfd.9	缺陷问题	
MAA.rfd.9.1	病态结构问题	
MAA.rfd.9.2	多重方案问题	
MAA.rfd.10	作为限制的COTS	
MAA.er	获取需求 	Eliciting requirements
MAA.er.1	获取来源	
MAA.er.2	获取技术	
MAA.er.2.1	访谈	
MAA.er.2.2	问卷调查	
MAA.er.2.3	原型	
MAA.er.2.4	用例	
MAA.er.2.5	观察	
MAA.er.2.6	参与技术	
MAA.er.3	高级技术	
MAA.er.3.1	人文	
MAA.er.3.2	知识获取	
MAA.rsd	需求规格说明与文档 	Requirements specification & documentation
MAA.rsd.1	需求文档基础	
MAA.rsd.1.1	类型	
MAA.rsd.1.2	受众	
MAA.rsd.1.3	结构	
MAA.rsd.1.4	质量	
MAA.rsd.1.5	属性	
MAA.rsd.1.6	标准	
MAA.rsd.2	软件需求规格说明	
MAA.rsd.3	规格说明语言	
MAA.rsd.3.1	结构化描述	
MAA.rsd.3.2	UML	
MAA.rv	需求验证 	Requirements validation 
MAA.rv.1	评审和检查	
MAA.rv.2	原型验证	
MAA.rv.3	确认测试设计	
MAA.rv.4	确认产品质量属性	
MAA.rv.5	形式化需求分析	
DES	软件设计 	DESign
DES.con	设计概念 	DESign concepts
DES.con.1	设计的定义	
DES.con.2	基本设计问题	
DES.con.2.1	持久数据	
DES.con.2.2	存储管理	
DES.con.2.3	例外	
DES.con.3	软件开发生命周期中的设计环境	
DES.con.4	设计原则	
DES.con.4.1	信息隐藏	
DES.con.4.2	内聚与耦合	
DES.con.5	设计和需求之间的交互	
DES.con.6	质量属性设计	
DES.con.6.1	可靠性	
DES.con.6.2	可用性	
DES.con.6.3	性能	
DES.con.6.4	可测试性	
DES.con.6.5	容错	
DES.con.7	设计折衷	
DES.con.8	体系结构风格、模式、复用	
DES.str	设计策略 	DESign strategies
DES.str.1	面向功能的设计	
DES.str.2	面向对象的设计	
DES.str.3	以数据结构为中心的设计	
DES.str.4	面向方面的设计	
DES.ar	体系结构设计 	DESign
DES.ar.1	体系结构风格	
DES.ar.1.1	管道与过滤器	
DES.ar.1.2	分层	
DES.ar.1.3	以事务为中心	
DES.ar.1.4	点对点	
DES.ar.1.5	出版－订阅架构	
DES.ar.1.6	基于事件	
DES.ar.1.7	客户－服务器	
DES.ar.2	多属性中的体系结构折衷	
DES.ar.3	软件体系结构中的硬件问题	
DES.ar.4	软件体系结构中的需求可追踪性	
DES.ar.5	特定领域的体系结构和产品线	
DES.ar.6	体系结构表示	
DES.dd	详细设计 	DESign
DES.dd.1	设计方法	
DES.dd.1.1	SSA／SD	
DES.dd.1.2	JSD	
DES.dd.1.3	OOD	
DES.dd.2	设计模式	
DES.dd.3	组件设计	
DES.dd.4	组件和系统接口设计	
DES.dd.5	设计表示	
DES.hci	人机界面设计 	DESign
DES.hci.1	通用人机界面设计原则	
DES.hci.2	模式和导航的应用	
DES.hci.3	编程技术与可视化设计	
DES.hci.3.1	颜色	
DES.hci.3.2	图标	
DES.hci.3.3	字体	
DES.hci.3.4	布局	
DES.hci.4	响应时间和反馈	
DES.hci.5	设计形式	
DES.hci.5.1	菜单驱动	
DES.hci.5.2	表单	
DES.hci.5.3	问答	
DES.hci.6	本地化和国际化	
DES.hci.7	人机界面设计方法	
DES.hci.8	多媒体	
DES.hci.9	隐喻和概念模型	
DES.hci.10	人机界面心理学	
DES.ste	设计支持工具与评价 	DESign support tools and evaluations
DES.ste.1	设计支持工具	
DES.ste.2	设计属性度量	
DES.ste.3	设计标准	
DES.ste.4	形式化设计分析	
VAV	软件验证与确认 	Software V & V
VAV.fnd	验证与确认的术语和基础	V & V terminology and foundations
VAV.fnd.1	验证与确认的目标和限制	
VAV.fnd.2	验证与确认效果规划	
VAV.fnd.3	编写验证与确认策略文档	
VAV.fnd.4	标准和度量	
VAV.fnd.5	生命周期不同阶段的验证与确认	
VAV.rev	评审 	Reviews
VAV.rev.1	桌面验证	
VAV.rev.2	走读	
VAV.rev.3	检查	
VAV.tst	测试 	Testing
VAV.tst.1	单元测试	
VAV.tst.2	异常处理	
VAV.tst.3	覆盖分析和基于结构的测试	
VAV.tst.4	黑盒功能测试	
VAV.tst.5	集成测试	
VAV.tst.6	基于用例开发测试用例	
VAV.tst.7	基于操作层面的测试	
VAV.tst.8	系统和确认测试	
VAV.tst.9	质量属性测试	
VAV.tst.9.1	可用性	
VAV.tst.9.2	安全性	
VAV.tst.9.3	兼容性	
VAV.tst.9.4	性能	
VAV.tst.9.5	可访问性	
VAV.tst.9.6	可靠性	
VAV.tst.10	回归测试	
VAV.tst.11	测试工具	
VAV.tst.12	发布过程	
VAV.hct	人机交互界面测试与评价 	Human computer UI testing and evaluation
VAV.hct.1	有效性和可用性的各个方面	
VAV.hct.2	启发式评价	
VAV.hct.3	感知式走查	
VAV.hct.4	用户测试方法	
VAV.hct.5	Web可用性	
VAV.hct.6	测试特定人机界面假定的规范实验	
VAV.par	问题分析与报告 	PROblem analysis and reporting 
VAV.par.1	分析错误包括	
VAV.par.2	调试／错误隔离技术	
VAV.par.3	缺陷分析	
VAV.par.4	问题追踪	
EVO	软件演化 	EVOlution
EVO.pro	演化过程 	PROcess
EVO.pro.1	演化和维护的基本概念	
EVO.pro.2	演化实体间的关系	
EVO.pro.3	软件演化模型	
EVO.pro.4	演化成本模型	
EVO.pro.5	演化规划	
EVO.ac	演化活动 	EVOlution activities
EVO.ac.1	使用遗留系统	
EVO.ac.2	程序理解和逆向工程	
EVO.ac.3	系统和过程的再创建	
EVO.ac.4	影响分析	
EVO.ac.5	移植	
EVO.ac.6	重构	
EVO.ac.7	程序转换	
EVO.ac.8	数据逆向工程	
PRO	软件过程 	PROcess
PRO.con	过程概念 	PROcess concepts
PRO.con.1	主题与术语	
PRO.con.2	软件工程过程基础设施	
PRO.con.3	软件过程建模与规格说明	
PRO.con.4	软件过程度量与分析	
PRO.con.5	软件工程过程改进	
PRO.con.6	质量分析和控制	
PRO.con.6.1	缺陷预防	
PRO.con.6.2	评审过程	
PRO.con.6.3	质量标准	
PRO.con.6.4	根源分析	
PRO.con.7	软件过程模型分析和建模	
PRO.imp	过程实现 	PROcess implementation
PRO.imp.1	过程定义的层次	
PRO.imp.2	生命周期模型	
PRO.imp.2.1	敏捷	
PRO.imp.2.2	瀑布	
PRO.imp.2.3	螺旋	
PRO.imp.2.4	V模型	
PRO.imp.2.5	迭代	
PRO.imp.3	生命周期过程模型与标准	
PRO.imp.4	个体软件过程	
PRO.imp.5	小组软件过程	
PRO.imp.6	过程裁剪	
PRO.imp.7	软件生命周期过程需求	
QUA	软件质量 	QUAlity
QUA.cc	软件质量概念与文化 	QUAlity concepts and culture
QUA.cc.1	质量定义	
QUA.cc.2	社会对质量的关注	
QUA.cc.3	质量缺陷的成本与影响	
QUA.cc.4	质量模型的成本	
QUA.cc.5	软件质量属性	
QUA.cc.6	质量工程范围	
QUA.cc.7	人、过程、方法、工具和技术的角色	
QUA.std	软件质量标准 	QUAlity standards
QUA.std.1	ISO9000	
QUA.std.2	ISO／IEEE12207	
QUA.std.3	标准的组织实现	
QUA.std.4	IEEE软件质量相关标准	
QUA.pro	软件质量过程 	PROcess 
QUA.pro.1	软件质量模型与标准	
QUA.pro.2	软件过程模型的质量相关方面	
QUA.pro.3	ISO15504和SEI CMM的概述	
QUA.pro.4	ISO15504的质量相关过程域	
QUA.pro.5	软件工程Baldridge奖的标准	
QUA.pro.6	其他过程模型的质量因素	
QUA.pca	过程保证 	PROcess assurance
QUA.pca.1	过程保证的本质	
QUA.pca.2	质量计划	
QUA.pca.3	过程保证的组织与报告	
QUA.pca.4	过程保证技术	
QUA.pda	产品保证 	PROduct assurance
QUA.pda.1	产品保证的本质	
QUA.pda.2	保证和“验证与确认”的区别	
QUA.pda.3	质量产品模型	
QUA.pda.4	根源分析和缺陷预防	
QUA.pda.5	质量产品标准和度量	
QUA.pda.6	产品质量属性的评估	
MGT	软件管理 	Software Management
MGT.con	管理概念	Management concepts
MGT.con.1	通用项目管理	
MGT.con.2	经典管理模型	
MGT.con.3	项目管理角色	
MGT.con.4	企业／组织管理结构	
MGT.con.5	软件管理类型	
MGT.con.5.1	采购	
MGT.con.5.2	风险	
MGT.con.5.3	成本	
MGT.con.5.4	开发	
MGT.con.5.5	维护	
MGT.con.5.6	项目	
MGT.pp	项目计划 	PROject Planning
MGT.pp.1	评估和计划	
MGT.pp.2	工作分解结构	
MGT.pp.3	任务进度	
MGT.pp.4	效果评估	
MGT.pp.5	资源分配	
MGT.pp.6	风险管理	
MGT.per	项目人员与组织 	PROject personal and organization
MGT.per.1	组织结构、职位、职责和权利	
MGT.per.2	正式／非正式沟通	
MGT.per.3	项目人员管理	
MGT.per.4	人员培训、职业发展和评价	
MGT.per.5	会议管理	
MGT.per.6	建设和激励团队	
MGT.per.7	冲突解决	
MGT.ctl	项目控制 	PROject control
MGT.ctl.1	变更控制	
MGT.ctl.2	监控和报告	
MGT.ctl.3	结果度量与分析	
MGT.ctl.4	改正和回复	
MGT.ctl.5	奖励与惩罚	
MGT.ctl.6	绩效标准	
MGT.cm	软件配置管理 	Software configuration management
MGT.cm.1	版本控制	
MGT.cm.2	发布管理	
MGT.cm.3	工具支持	
MGT.cm.4	生成	
MGT.cm.5	软件配置管理过程	
MGT.cm.6	维护问题	
MGT.cm.7	发行和备份	
SAS	特定系统领域与应用  	Specific System Domain and Application
SAS.net	网络系统 	Network System 
SAS.net.1	Web技术	
SAS.net.2	网络深入研究	
SAS.net.3	安全深入研究	
SAS.inf	信息系统和数据处理	PROcessing
SAS.inf.1	数据库	
SAS.inf.2	业务管理	
SAS.inf.3	数据仓库	
SAS.inf.4	数据挖掘	
SAS.inf.5	搜索	
SAS.fin	金融与电子商务系统 	Financial and Electronic System
SAS.fin.1	会计	
SAS.fin.2	金融	
SAS.fin.3	安全	
SAS.sur	容错与自救系统 	PROtection System
SAS.sur.1	异构分布式系统	
SAS.sur.2	安全	
SAS.sur.3	故障分析	
SAS.sur.4	入侵检测	
SAS.sec	高安全性系统 	High Security System
SAS.sec.1	与安全相关的业务问题	
SAS.sec.2	安全弱化与风险	
SAS.sec.3	密码学、密码分析学	
SAS.sec.4	网络技术深入研究	
SAS.sfy	安全重要系统 	Safety-related System
SAS.sfy.1	形式化方法、正确性证明	
SAS.sfy.2	控制系统知识	
SAS.sfy.3	失效模式、影响分析和故障树分析	
SAS.emb	嵌入式实时系统 	Embedded real-time System
SAS.emb.1	嵌入式系统硬件	
SAS.emb.2	开发语言和工具	
SAS.emb.3	定时问题	
SAS.emb.4	硬件验证	
SAS.bio	生物医学系统 	Biomedical System
SAS.bio.1	生物学和相关科学	
SAS.bio.2	相关的安全重要系统知识	
SAS.sci	科学系统 	Science System
SAS.sci.1	相关科学的知识	
SAS.sci.2	统计学	
SAS.sci.3	可视化与图形学	
SAS.tel	电信系统 	Telecommunication System
SAS.tel.1	信号、信息理论	
SAS.tel.2	电话和电信协议	
SAS.av	航空电子与车载系统	Aerospace Avionics and Vehicle System
SAS.av.1	机械工程	
SAS.av.2	相关的安全重要系统知识	
SAS.av.3	相关的嵌入式和实时系统知识	
SAS.ind	工业过程控制系统 	PROcess Control System
SAS.ind.1	控制系统	
SAS.ind.2	工业过程和其他相关领域工程	
SAS.ind.3	相关的嵌入式和实时系统知识	
SAS.mm	多媒体、游戏和娱乐系统 	Multimedia、Game and Entertainment System
SAS.mm.1	可视化、触觉和图形学	
SAS.mm.2	人机界面设计	
SAS.mm.3	网络知识	
SAS.mob	小型移动平台系统 	Small Mobile System
SAS.mob.1	无线技术	
SAS.mob.2	小型移动平台人机界面研究	
SAS.mob.3	相关的嵌入式和实时系统知识	
SAS.mob.4	相关的电信系统知识	
SAS.sb	基于代理的系统 	Agent-based System
SAS.sb.1	机器学习 	
SAS.sb.2	模糊逻辑	
SAS.sb.3	知识工程	
