rid000207,A_cid_4_m_1
rid000214,A_cid_4_m_2
rid000220,A_cid_4_m_3
rid000222,A_cid_4_m_3
rid000225,A_cid_4_m_3
rid000227,A_cid_4_m_3
rid000218,A_cid_4_m_4
rid000229,A_cid_4_m_5
rid000231,A_cid_4_m_5
rid000235,A_cid_4_h_1
rid000134,A_cid_3_e_1
rid000135,A_cid_3_e_1
rid000142,A_cid_3_e_1
rid000143,A_cid_3_e_1
rid000144,A_cid_3_e_1
rid000145,A_cid_3_e_1
rid000146,A_cid_3_e_1
rid000147,A_cid_3_e_1
rid000136,A_cid_3_e_2
rid000137,A_cid_3_e_2
rid000138,A_cid_3_e_2
rid000139,A_cid_3_e_2
rid000379,A_cid_3_m_1
rid000380,A_cid_3_m_1
rid000381,A_cid_3_m_1
rid000382,A_cid_3_m_1
rid000148,A_cid_3_m_1
rid000149,A_cid_3_m_1
rid000383,A_cid_3_h_1
rid000384,A_cid_3_h_1
rid000383,A_cid_3_h_1
rid000384,A_cid_3_h_1
rid000511,A_cid_3_h_1
rid000491,A_cid_2_e_1
rid000492,A_cid_2_e_2
rid000496,A_cid_2_e_2
rid000504,A_cid_2_e_3
rid000505,A_cid_2_e_3
rid000508,A_cid_2_e_3
rid000511,A_cid_2_e_3
rid000498,A_cid_2_m_3
rid000499,A_cid_2_m_3
rid000500,A_cid_2_m_3
rid000501,A_cid_2_m_3
rid000505,A_cid_2_m_4
rid000505,A_cid_2_m_5
rid000511,A_cid_2_m_5
rid000392,A_cid_2_m_6
rid000394,A_cid_2_m_6
rid000395,A_cid_2_m_6
rid000396,A_cid_2_m_6
rid000397,A_cid_2_m_6
rid000398,A_cid_2_m_6
rid000400,A_cid_2_m_6
rid000401,A_cid_2_m_6
rid000498,A_cid_2_m_6
rid000499,A_cid_2_m_6
rid000399,A_cid_2_h_1
rid000500,A_cid_2_h_1
rid000501,A_cid_2_h_1
rid000286,A_cid_1_e_1
rid000289,A_cid_1_e_1
rid000305,A_cid_1_e_1
rid000306,A_cid_1_e_1
rid000307,A_cid_1_e_1
rid000317,A_cid_1_m_2
rid000388,A_cid_1_m_3
rid000293,A_cid_1_m_4
rid000296,A_cid_1_m_4
rid000299,A_cid_1_m_4
rid000388,A_cid_1_m_5
rid000023,A_cid_0_e_1
con_rid000024,A_cid_0_e_1
con_rid000025,A_cid_0_e_1
con_rid000026,A_cid_0_e_2
con_rid000027,A_cid_0_e_2
con_rid000028,A_cid_0_e_2
con_rid000029,A_cid_0_e_2
con_rid000030,A_cid_0_e_2
rid000104,A_cid_0_e_5
rid000105,A_cid_0_e_5
rid000112,A_cid_0_e_5
rid000114,A_cid_0_e_5
rid000115,A_cid_0_e_5
rid000116,A_cid_0_e_5
rid000117,A_cid_0_e_5
rid000118,A_cid_0_e_5
rid000251,A_cid_0_m_2
rid000252,A_cid_0_m_2
rid000253,A_cid_0_m_2
rid000254,A_cid_0_m_2
rid000255,A_cid_0_m_2
rid000256,A_cid_0_m_2
rid000261,A_cid_0_m_2
rid000262,A_cid_0_m_2
rid000263,A_cid_0_m_2
rid000257,A_cid_0_m_2
rid000258,A_cid_0_m_2
rid000259,A_cid_0_m_2
rid000260,A_cid_0_m_2
rid000269,A_cid_0_m_2
rid000270,A_cid_0_m_2
rid000271,A_cid_0_m_2
rid000272,A_cid_0_m_2
rid000273,A_cid_0_m_2
rid000274,A_cid_0_m_2
rid000106,A_cid_0_m_3
rid000107,A_cid_0_m_3
rid000108,A_cid_0_m_3
rid000109,A_cid_0_m_3
rid000110,A_cid_0_m_3
rid000111,A_cid_0_m_3
