RESOURCEID	资源标题	所属课程	文件路径	关键词	作者	学科1	学科2	所属知识点1	所属知识点2	资源描述	媒体类型	资源应用类型	文件格式
rid000001	数据结构绪论	数据结构网络课程	74\page\chap01\010101.asp	数据结构,绪论，概念， 面向对象程序设计OOP与抽象数据类型ADT， 算法概念和算法描述语言	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	数据结构	数据结构概念	本章将简述数据结构与算法的关系，介绍有关数据、数据结构、面向对象程序设计、抽象数据类型和算法等概念，并给出一种算法描述语言ADL。	程序	教学设计	application/x-javascript
rid000002	数据结构概念	数据结构网络课程	74\page\chap01\010102.asp	数据结构，概念,数据元素，数据结构的内容，数据的逻辑结构，线性结构，线性表，非线性结构，树，图	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	数据结构	数据结构概念	讲了什么是数据以及数据结构。	程序	名词术语	application/x-javascript
rid000003	数据的存储结构	数据结构网络课程	74\page\chap01\010103.asp	数据结构，存储结构，顺序存储结构，链接存储结构，数据结构的定义	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	数据结构	数据结构概念	举例讲解了数据的存储结构，并总结了数据结构的定义。	程序	名词术语	application/x-javascript
rid000004	面向对象程序设计OOP与抽象数据类型ADT	数据结构网络课程	74\page\chap01\010201.asp	面向对象程序设计OOP，抽象数据类型ADT	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	数据结构	面向对象程序设计	根据面向对象程序设计的思想，可以将每种数据结构都视为一个抽象类型，它定义数据的组织方式，且给出数据上的基本操作，这种结构称为抽象数据类型。	程序	理论型知识元	application/x-javascript
rid000005	矩形的ADT描述	数据结构网络课程	74\page\chap01\010202.asp	矩形，ADT描述	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	数据结构	面向对象程序设计OOP与抽象数据类型ADT	例子给出了矩形的ADT描述。	程序	例题	application/x-javascript
rid000006	算法概念和算法描述语言	数据结构网络课程	74\page\chap01\010301.asp	算法，程序，算法描述语言ADL	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	数据结构	算法概念和算法描述语言	给出计算机算法的定义，并给出用算法描述语言ADL书写算法时的约定和书写格式。	程序	理论型知识元	application/x-javascript
rid000007	算法描述语言ADL的书写约定和书写格式	数据结构网络课程	74\page\chap01\010302.asp	算法描述语言ADL，书写约定，书写格式	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	数据结构	算法概念和算法描述语言	算法描述语言ADL的书写算法时的约定和书写格式	程序	理论型知识元	application/x-javascript
rid000008	算法的五大特性	数据结构网络课程	74\page\chap01\010303.asp	算法的五大特性，有限性，确定性，输入，输出，可行性	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	数据结构	算法概念和算法描述语言	算法的五大特性：有限性，确定性，输入，输出，可行性	程序	理论型知识元	text/html
rid000009	数据结构绪论	数据结构网络课程	74\page\chap01\010101.htm	数据结构,绪论，概念， 面向对象程序设计OOP与抽象数据类型ADT， 算法概念和算法描述语言	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	数据结构	数据结构概念	本章将简述数据结构与算法的关系，介绍有关数据、数据结构、面向对象程序设计、抽象数据类型和算法等概念，并给出一种算法描述语言ADL。	文本	教学设计	text/html
rid000010	数据结构概念	数据结构网络课程	74\page\chap01\010102.htm	数据结构，概念,数据元素，数据结构的内容，数据的逻辑结构，线性结构，线性表，非线性结构，树，图	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	数据结构	数据结构概念	讲了什么是数据以及数据结构。	文本	名词术语	text/html
rid000011	算法的五大特性	数据结构网络课程	74\page\chap01\010303.htm	算法的五大特性，有限性，确定性，输入，输出，可行性	"项目负责人：  刘大有 
指导老师：    虞强源，孙舒扬,杨博 
程序设计人员：刘育东，白岩，张丽霞，谷方明，刘超"	计算机类	电子、电气信息类	数据结构	算法概念和算法描述语言	算法的五大特性：有限性，确定性，输入，输出，可行性	文本	理论型知识元	text/html
