concept_id	concept_name
CMP	计算基础
CMP.cf	计算机科学基础
CMP.cf1	程序设计基础
CMP.cf2	算法、数据结构与复杂性
CMP.cf3	问题求解技术
CMP.cf4	抽象
CMP.cf5	计算机组织结构
CMP.cf6	系统基本概念
CMP.cf7	基础用户因素（I/O，错误信息，鲁棒性）
CMP.cf8	基础开发人员因素（注释，结构，可读性）
CMP.cf9	程序设计语言基础
CMP.cf10	操作系统基础
CMP.cf11	数据库基础
CMP.cf12	网络通信基础
CMP.cf13	编程语言的语义学
CMP.ct	开发技术 
CMP.ct1	API设计与使用
CMP.ct2	代码复用和程序库
CMP.ct3	面向对象运行问题（多态性，动态绑定等）
CMP.ct4	参数化和泛化
CMP.ct5	断言、契约化设计、防御性编程
CMP.ct6	错误处理、异常处理和容错
CMP.ct7	基于状态和表驱动的开发技术
CMP.ct8	运行的配置和国际化
CMP.ct9	基于语法的输入处理（句法分析）
CMP.ct10	并发元素（信号量、监视器等）
CMP.ct11	中间件（组件和容器）
CMP.ct12	分布式软件的开发方法
CMP.ct13	异构（硬件和软件）系统开发；软硬件综合设计
CMP.ct14	性能分析与调节
CMP.ct15	平台标准
CMP.ct16	测试优先的程序设计
CMP.tl	开发工具 
CMP.tl1	开发环境
CMP.tl2	GUI创建工具
CMP.tl3	单元测试工具
CMP.tl4	面向应用的语言（如脚本编程、可视化编程等）
CMP.tl5	剖析、性能分析和切片工具
CMP.fm	形式化开发方法 
CMP.fm1	抽象机的应用（如SDL、Paisley等）
CMP.fm2	形式化语言与方法的应用
CMP.fm3	由规格说明自动生成代码
CMP.fm4	程序派生
CMP.fm5	候选实现分析
CMP.fm6	将规格说明映射到不同实现
CMP.fm7	提炼
CMP.fm8	正确性证明
FND	数学与工程基础 
FND.mf	数学基础 
FND.mf1	函数、关系和集合
FND.mf2	基本逻辑（命题和谓词）
FND.mf3	证明技术（直接、矛盾、归纳）
FND.mf4	基础计算
FND.mf5	图和树
FND.mf6	离散概率学
FND.mf7	有限状态机，正则表达式
FND.mf8	语法
FND.mf9	数字精度、准确性和错误
FND.mf10	数字理论
FND.mf11	代数结构
FND.ef	软件的工程基础 
FND.ef1	"经验方法和实验技术
（如CPU和内存使用情况的计算机测量技术）"
FND.ef2	统计分析
FND.ef3	度量及其单位
FND.ef4	"系统开发
（如安全、保险、性能、规模效应、特性相互作用等）"
FND.ef5	"工程设计
（问题表述、可选方案、可行性等）"
FND.ef6	度量理论
FND.ef7	其他工程学科的工程科学
FND.ec	软件工程经济学 
FND.ec1	软件全生命周期的价值因素
FND.ec2	"生成系统目标
（如共享设计、项目干系人双赢、质量职能运用、原型创建等）"
FND.ec3	"评估成本有效的方案
（如利润实现、折中分析、成本分析、投资回报等）"
FND.ec4	"实现系统价值
（如优先级确定、风险识别、成本控制等）"
PRF	专业实践
PRF.psy	团队动力学／心理学 
PRF.psy1	在小组或团队中工作的动力学
PRF.psy2	个体认知（如限制）
PRF.psy3	认知问题的复杂性
PRF.psy4	与项目干系人的相互作用
PRF.psy5	对待不确定性和模糊性
PRF.psy6	适应多文化环境
PRF.com	沟通技巧 
PRF.com1	阅读、理解和概括（如源代码、文档）
PRF.com2	撰写（任务分配、报告、评估、解释等）
PRF.com3	小组和团队沟通
PRF.com4	表达技巧
PRF.pr	职业道德 
PRF.pr1	信用、认证和许可
PRF.pr2	职业道德与行为规范
PRF.pr3	社会、法律、历史和职业道德问题及关系
PRF.pr4	专业团队的本质和角色             
PRF.pr5	软件工程标准的本质和角色
PRF.pr6	软件的经济效应
PRF.pr7	雇佣合同
MAA	软件建模与分析 
MAA.md	建模基础 
MAA.md1	"建模原则
（如分解、抽象、泛化、投影／视图、明示、形式化方法的使用等）"
MAA.md2	前置与后置条件、不变量
MAA.md3	数学模型和规格说明语言简介
MAA.md4	建模语言的属性
MAA.md5	语法和语义
MAA.md6	明示（排除假设，或说明所有假设）
MAA.tm	模型类型 
MAA.tm1	信息建模（如实体关系图、类图等）
MAA.tm2	行为建模
MAA.tm2.1	结构化分析
MAA.tm2.2	状态图
MAA.tm2.3	用例分析
MAA.tm2.4	交互图
MAA.tm2.5	故障模式和影响分析
MAA.tm2.6	故障树分析
MAA.tm3	结构建模
MAA.tm4	领域建模
MAA.tm5	功能建模
MAA.tm6	企业建模
MAA.tm6.1	业务流程
MAA.tm6.2	组织结构
MAA.tm6.3	目标
MAA.tm7	嵌入式系统建模
MAA.tm7.1	时序分析
MAA.tm7.2	外部接口分析
MAA.tm8	需求交互分析
MAA.tm8.1	特征交互
MAA.tm8.2	质量审议
MAA.tm8.3	视点分析
MAA.tm9	分析模式
MAA.tm9.1	问题框架
MAA.tm9.2	规格说明复用
MAA.af	分析基础 
MAA.af1	完善性分析
MAA.af1.1	完整性
MAA.af1.2	一致性
MAA.af1.3	鲁棒性
MAA.af2	正确性分析
MAA.af2.1	静态分析
MAA.af2.2	仿真分析
MAA.af2.3	模型检查
MAA.af3	非功能性质量需求分析
MAA.af3.1	保险度
MAA.af3.2	安全性
MAA.af3.3	可用性
MAA.af3.4	性能
MAA.af3.5	根源分析
